8/16 - 8/22	Positive Tests	COVID-19 Tests Since 8/16/2020	0.00	3.00
8/16 - 8/22	Tests	COVID-19 Tests Since 8/16/2020	0.00	8,092.00
8/23 - 8/29	Positive Tests	COVID-19 Tests Since 8/16/2020	0.00	6.00
8/23 - 8/29	Tests	COVID-19 Tests Since 8/16/2020	0.00	10,487.00
8/30 - 9/5	Positive Tests	COVID-19 Tests Since 8/16/2020	0.00	8.00
8/30 - 9/5	Tests	COVID-19 Tests Since 8/16/2020	0.00	12,364.00
9/6 - 9/12	Positive Tests	COVID-19 Tests Since 8/16/2020	0.00	6.00
9/6 - 9/12	Tests	COVID-19 Tests Since 8/16/2020	0.00	13,700.00
9/13 - 9/19	Positive Tests	COVID-19 Tests Since 8/16/2020	0.00	6.00
9/13 - 9/19	Tests	COVID-19 Tests Since 8/16/2020	0.00	15,137.00
9/20 - 9/26	Positive Tests	COVID-19 Tests Since 8/16/2020	0.00	5.00
9/20 - 9/26	Tests	COVID-19 Tests Since 8/16/2020	0.00	15,812.00
9/27 - 10/3	Positive Tests	COVID-19 Tests Since 8/16/2020	0.00	12.00
9/27 - 10/3	Tests	COVID-19 Tests Since 8/16/2020	0.00	15,928.00
10/4 - 10/10	Positive Tests	COVID-19 Tests Since 8/16/2020	0.00	10.00
10/4 - 10/10	Tests	COVID-19 Tests Since 8/16/2020	0.00	16,723.00
10/11 - 10/17	Positive Tests	COVID-19 Tests Since 8/16/2020	0.00	4.00
10/11 - 10/17	Tests	COVID-19 Tests Since 8/16/2020	0.00	15,469.00
10/18 - 10/24	Positive Tests	COVID-19 Tests Since 8/16/2020	0.00	8.00
10/18 - 10/24	Tests	COVID-19 Tests Since 8/16/2020	0.00	16,539.00
10/25 - 10/31	Positive Tests	COVID-19 Tests Since 8/16/2020	0.00	20.00
10/25 - 10/31	Tests	COVID-19 Tests Since 8/16/2020	0.00	16,685.00
11/1 - 11/7	Positive Tests	COVID-19 Tests Since 8/16/2020	0.00	39.00
